"Currency Code",Rates
EUR,0.9315
JPY,131.1691
BGN,1.8219
CZK,22.1537
DKK,6.9326
GBP,0.8272
HUF,362.1146
PLN,4.4141
RON,4.5622
SEK,10.5657
CHF,0.9204
ISK,141.1272
NOK,10.2711
TRY,18.8322
AUD,1.4361
BRL,5.1834
CAD,1.3404
CNY,6.7854
HKD,7.8496
IDR,15116.3391
ILS,3.4847
INR,82.5282
KRW,1258.8728
MXN,18.9086
MYR,4.2985
NZD,1.5809
PHP,54.7899
SGD,1.3246
THB,33.51
ZAR,17.618
