"Currency Code",Rates
USD,0.7468
JPY,97.6219
BGN,1.356
CZK,16.4307
DKK,5.1597
GBP,0.6137
HUF,267.4894
PLN,3.2856
RON,3.3928
SEK,7.7231
CHF,0.6857
ISK,104.7632
NOK,7.5659
TRY,14.0639
AUD,1.0684
BRL,3.8941
EUR,0.6933
CNY,5.0608
HKD,5.8622
IDR,11287.4922
ILS,2.6053
INR,61.6311
KRW,939.7351
MXN,14.0951
MYR,3.2232
NZD,1.1722
PHP,40.6705
SGD,0.9871
THB,24.9691
ZAR,13.1827
