"Currency Code",Rates
USD,1.2169
JPY,159.0691
BGN,2.2096
CZK,26.7729
DKK,8.4075
EUR,1.1298
HUF,435.8583
PLN,5.3537
RON,5.5284
SEK,12.5843
CHF,1.1173
ISK,170.7055
NOK,12.3282
TRY,22.9163
AUD,1.7408
BRL,6.3453
CAD,1.6294
CNY,8.2463
HKD,9.5522
IDR,18392.3064
ILS,4.2452
INR,100.4242
KRW,1531.2433
MXN,22.9671
MYR,5.252
NZD,1.91
PHP,66.2701
SGD,1.6084
THB,40.6858
ZAR,21.4804
