"Currency Code",Rates
USD,1.2089
JPY,158.5698
BGN,2.2025
CZK,26.7815
DKK,8.3807
EUR,1.1261
HUF,437.759
PLN,5.3361
RON,5.5152
SEK,12.7729
CHF,1.1127
ISK,170.6081
NOK,12.4167
TRY,22.7662
AUD,1.736
BRL,6.2662
CAD,1.6204
CNY,8.2028
HKD,9.4893
IDR,18274.0878
ILS,4.2126
INR,99.768
KRW,1521.8468
MXN,22.8586
MYR,5.1964
NZD,1.9111
PHP,66.2354
SGD,1.6014
THB,40.5101
ZAR,21.2983
