"Currency Code",Rates
EUR,0.9284
JPY,130.7214
BGN,1.8158
CZK,22.0017
DKK,6.9092
GBP,0.8218
HUF,358.184
PLN,4.3996
RON,4.5432
SEK,10.3417
CHF,0.9182
ISK,140.2841
NOK,10.1312
TRY,18.8324
AUD,1.4306
BRL,5.2145
CAD,1.3391
CNY,6.7767
HKD,7.8499
IDR,15114.6133
ILS,3.4886
INR,82.5276
KRW,1258.3604
MXN,18.8741
MYR,4.316
NZD,1.5696
PHP,54.4601
SGD,1.3218
THB,33.4351
ZAR,17.6524
