Date,BTC Closing Value
"Feb 09, 2023","20,936.65"
"Feb 08, 2023","21,407.87"
"Feb 07, 2023","21,680.20"
"Feb 06, 2023","21,213.24"
"Feb 05, 2023","21,276.37"
"Feb 04, 2023","21,580.79"
"Feb 03, 2023","21,701.17"
"Feb 02, 2023","21,524.57"
"Feb 01, 2023","21,541.99"
"Jan 31, 2023","21,305.56"
